<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QVMM.US,D,20210701,000000,25.085,25.24,25.085,25.1822,491,0
QVMM.US,D,20210702,000000,25.134,25.134,25.134,25.134,24,0
QVMM.US,D,20210706,000000,24.9,24.9,24.882,24.882,101,0
QVMM.US,D,20210707,000000,24.9303,24.9303,24.9303,24.9303,2,0
QVMM.US,D,20210708,000000,24.61,24.61,24.5686,24.5686,313,0
QVMM.US,D,20210709,000000,25.1261,25.1261,25.1261,25.1261,1,0
QVMM.US,D,20210712,000000,25.35,25.35,25.2022,25.2022,202,0
QVMM.US,D,20210713,000000,25.055,25.055,24.8382,24.8382,500,0
QVMM.US,D,20210714,000000,24.84,24.84,24.6943,24.6943,104,0
QVMM.US,D,20210715,000000,24.6237,24.6237,24.6237,24.6237,102,0
QVMM.US,D,20210716,000000,24.3424,24.3424,24.3424,24.3424,42,0
QVMM.US,D,20210719,000000,24,24,23.8969,23.8969,161,0
QVMM.US,D,20210720,000000,24.5627,24.5627,24.5627,24.5627,5,0
QVMM.US,D,20210721,000000,24.86,24.86,24.8458,24.8458,121,0
QVMM.US,D,20210722,000000,24.6178,24.6178,24.6178,24.6178,11,0
QVMM.US,D,20210723,000000,24.89,24.89,24.78,24.8311,1029,0
QVMM.US,D,20210726,000000,24.82,24.8451,24.82,24.8451,261,0
QVMM.US,D,20210727,000000,24.5999,24.7192,24.5999,24.7192,104,0
QVMM.US,D,20210728,000000,24.7795,24.899,24.7795,24.899,137,0
QVMM.US,D,20210729,000000,25.1674,25.1674,25.1674,25.1674,28,0
QVMM.US,D,20210730,000000,25.1429,25.1429,25.1429,25.1429,1,0
QVMM.US,D,20210802,000000,25.249,25.25,25.0451,25.0451,491,0
QVMM.US,D,20210803,000000,25.2028,25.2028,25.2028,25.2028,46,0
QVMM.US,D,20210804,000000,25.2299,25.2299,24.9867,24.9867,1881,0
QVMM.US,D,20210805,000000,25.1472,25.1472,25.1472,25.1472,15,0
QVMM.US,D,20210806,000000,25.2615,25.2615,25.2615,25.2615,2,0
QVMM.US,D,20210809,000000,25.2186,25.2186,25.1851,25.1851,478,0
QVMM.US,D,20210810,000000,25.32,25.32,25.2599,25.2675,1450,0
QVMM.US,D,20210811,000000,25.449,25.4897,25.42,25.4897,22862,0
QVMM.US,D,20210812,000000,25.46,25.52,25.454,25.454,9364,0
QVMM.US,D,20210813,000000,25.3767,25.3767,25.3767,25.3767,26,0
QVMM.US,D,20210816,000000,25.315,25.3397,25.315,25.3397,100,0
QVMM.US,D,20210817,000000,25,25.0498,24.9,25.0498,382,0
QVMM.US,D,20210818,000000,25.1008,25.12,24.8251,24.8251,7563,0
QVMM.US,D,20210819,000000,24.59,24.66,24.5438,24.5979,12332,0
QVMM.US,D,20210820,000000,24.89,24.92,24.865,24.9172,911,0
QVMM.US,D,20210823,000000,25.05,25.14,25.05,25.1186,2297,0
QVMM.US,D,20210824,000000,25.24,25.35,25.24,25.3,1371,0
QVMM.US,D,20210825,000000,25.4768,25.4768,25.4768,25.4768,906,0
