<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCI.US,D,20050225,000000,9.2619,9.2677,9.0627,9.1954,115789,0
RCI.US,D,20050228,000000,9.2803,9.2803,9.1373,9.1441,214095,0
RCI.US,D,20050301,000000,9.1651,9.422,9.1373,9.3656,126149,0
RCI.US,D,20050302,000000,9.2803,9.503,9.2803,9.4398,153985,0
RCI.US,D,20050303,000000,9.3656,9.3823,9.1954,9.2861,150731,0
RCI.US,D,20050304,000000,9.3882,9.4685,9.3538,9.3538,205810,0
RCI.US,D,20050307,000000,9.3134,9.55,9.3134,9.4903,214988,0
RCI.US,D,20050308,000000,9.4824,9.577,9.4745,9.4824,157540,0
RCI.US,D,20050309,000000,9.529,9.55,9.2677,9.3391,374302,0
RCI.US,D,20050310,000000,9.4348,9.4398,9.2677,9.3823,153689,0
RCI.US,D,20050311,000000,9.3882,9.4982,9.3202,9.3656,136511,0
RCI.US,D,20050314,000000,9.3134,9.4477,9.3134,9.4348,74621,0
RCI.US,D,20050315,000000,9.4824,9.503,9.3007,9.3607,149544,0
RCI.US,D,20050316,000000,9.3734,9.415,9.2619,9.2803,110750,0
RCI.US,D,20050317,000000,9.2619,9.3202,9.2531,9.3202,135925,0
RCI.US,D,20050318,000000,9.3202,9.536,9.3202,9.4556,168788,0
RCI.US,D,20050321,000000,9.4745,9.536,9.2465,9.2803,81732,0
RCI.US,D,20050322,000000,9.3607,9.3607,9.203,9.2619,112531,0
RCI.US,D,20050323,000000,9.1866,9.3281,9.1866,9.2195,84692,0
RCI.US,D,20050324,000000,9.1895,9.2619,9.1527,9.1866,96533,0
RCI.US,D,20050328,000000,9.1651,9.1808,9.0324,9.1441,139475,0
RCI.US,D,20050329,000000,9.1441,9.1527,9.0438,9.1441,87948,0
RCI.US,D,20050330,000000,9.1028,9.1115,8.9821,9.0894,147473,0
RCI.US,D,20050331,000000,9.1201,9.203,9.096,9.1954,112531,0
RCI.US,D,20050401,000000,9.203,9.3067,9.096,9.294,91208,0
RCI.US,D,20050404,000000,9.1373,9.3332,9.1115,9.2861,105419,0
