<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RE.US,D,20050225,000000,69.124,69.719,69.124,69.561,310197,0
RE.US,D,20050228,000000,69.363,69.363,68.371,68.862,470912,0
RE.US,D,20050301,000000,68.943,69.426,68.769,68.968,345768,0
RE.US,D,20050302,000000,68.808,69.34,68.015,69.221,389041,0
RE.US,D,20050303,000000,69.211,69.306,68.38,68.54,213945,0
RE.US,D,20050304,000000,68.736,69.751,68.492,69.626,316126,0
RE.US,D,20050307,000000,69.536,70.091,69.527,69.824,212183,0
RE.US,D,20050308,000000,69.694,69.941,69.657,69.719,263902,0
RE.US,D,20050309,000000,69.641,70.141,69.561,69.791,254439,0
RE.US,D,20050310,000000,69.769,70.441,69.769,70.149,198054,0
RE.US,D,20050311,000000,70.273,70.542,69.838,70.362,317388,0
RE.US,D,20050314,000000,70.52,71.525,70.315,71.353,367095,0
RE.US,D,20050315,000000,71.067,71.383,70.797,71.114,620272,0
RE.US,D,20050316,000000,71.319,71.319,70.392,70.535,591887,0
RE.US,D,20050317,000000,70.551,70.653,69.742,69.824,760042,0
RE.US,D,20050318,000000,69.561,69.783,68.666,69.163,738599,0
RE.US,D,20050321,000000,69.005,69.561,68.901,69.34,259992,0
RE.US,D,20050322,000000,69.363,69.475,68.412,68.562,455776,0
RE.US,D,20050323,000000,68.571,68.887,68.158,68.158,448457,0
RE.US,D,20050324,000000,68.015,68.316,67.7,67.707,176355,0
RE.US,D,20050328,000000,67.484,69.497,67.484,68.901,432688,0
RE.US,D,20050329,000000,68.706,68.896,68.341,68.442,319787,0
RE.US,D,20050330,000000,68.047,68.221,67.776,68.142,401150,0
RE.US,D,20050331,000000,68.221,68.615,67.406,67.469,393333,0
RE.US,D,20050401,000000,67.627,67.825,65.447,66.319,672751,0
RE.US,D,20050404,000000,66.408,67.675,65.763,67.22,694574,0
RE.US,D,20050405,000000,67.422,67.61,67.018,67.18,214957,0
RE.US,D,20050406,000000,67.338,67.895,67.13,67.205,335429,0
RE.US,D,20050407,000000,67.096,68.199,67.054,68.127,364567,0
RE.US,D,20050408,000000,68.127,68.333,67.446,67.692,280804,0
RE.US,D,20050411,000000,67.692,67.842,67.318,67.593,358135,0
RE.US,D,20050412,000000,67.795,68.958,67.523,68.792,595922,0
RE.US,D,20050413,000000,68.61,68.72,66.987,67.18,307930,0
RE.US,D,20050414,000000,67.062,67.372,66.864,67.139,372263,0
RE.US,D,20050415,000000,67.009,67.372,66.778,66.954,462081,0
RE.US,D,20050418,000000,66.954,68.237,66.471,68.19,891873,0
RE.US,D,20050419,000000,65.613,66.937,65.573,66.675,1310807,0
RE.US,D,20050420,000000,66.675,66.7,65.639,65.725,734688,0
RE.US,D,20050421,000000,65.922,66.111,65.153,65.438,788679,0
RE.US,D,20050422,000000,65.319,66.724,65.065,66.724,592265,0
RE.US,D,20050425,000000,66.485,67.024,66.272,66.874,496897,0
RE.US,D,20050426,000000,66.746,66.82,65.208,65.337,456407,0
RE.US,D,20050427,000000,65.002,65.952,64.416,65.504,429032,0
RE.US,D,20050428,000000,65.639,66.287,64.907,65.215,454387,0
RE.US,D,20050429,000000,65.359,65.359,63.576,65.162,948256,0
RE.US,D,20050502,000000,65.084,66.383,65.084,66.383,575107,0
RE.US,D,20050503,000000,66.383,66.612,65.646,65.971,542941,0
RE.US,D,20050504,000000,66.071,67.389,65.962,67.324,327102,0
RE.US,D,20050505,000000,67.13,68.199,67.024,67.825,541429,0
RE.US,D,20050506,000000,67.902,68.388,67.785,68.292,276516,0
RE.US,D,20050509,000000,68.174,69.039,68.054,69.039,470028,0
RE.US,D,20050510,000000,68.808,69.133,68.531,68.769,492485,0
RE.US,D,20050511,000000,68.776,69.586,68.571,69.527,337700,0
RE.US,D,20050512,000000,69.444,69.734,68.65,68.682,314486,0
RE.US,D,20050513,000000,68.808,68.887,67.161,67.76,590372,0
RE.US,D,20050516,000000,67.776,68.015,67.514,67.936,314992,0
RE.US,D,20050517,000000,67.86,68.451,67.736,68.174,371128,0
RE.US,D,20050518,000000,68.205,68.862,68.205,68.799,499799,0
RE.US,D,20050519,000000,68.727,69.275,68.571,69.275,274120,0
RE.US,D,20050520,000000,69.34,70.368,69.124,69.403,475580,0
RE.US,D,20050523,000000,69.325,69.918,69.301,69.815,362295,0
