<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RF.US,D,20010514,000000,8.9662,9.0704,8.9351,9.0617,459841,0
RF.US,D,20010515,000000,18.016,18.253,17.938,18.23,490964,0
RF.US,D,20010516,000000,18.079,18.625,18.001,18.616,784232,0
RF.US,D,20010517,000000,18.567,18.68,18.371,18.44,667081,0
RF.US,D,20010518,000000,18.341,18.412,18.205,18.341,1046531,0
RF.US,D,20010521,000000,18.386,18.44,18.205,18.274,925313,0
RF.US,D,20010522,000000,18.348,18.742,18.144,18.514,835536,0
RF.US,D,20010525,000000,18.474,18.592,18.348,18.355,424807,0
RF.US,D,20010529,000000,18.308,18.599,18.246,18.567,706188,0
RF.US,D,20010530,000000,18.567,18.646,18.404,18.404,660509,0
RF.US,D,20010531,000000,18.44,18.71,18.324,18.646,562133,0
RF.US,D,20010601,000000,18.599,18.68,18.371,18.672,579340,0
RF.US,D,20010604,000000,18.71,18.782,18.538,18.742,433407,0
RF.US,D,20010605,000000,18.734,18.976,18.71,18.976,595139,0
RF.US,D,20010606,000000,18.976,18.976,18.584,18.814,681944,0
RF.US,D,20010607,000000,18.782,18.814,18.584,18.742,670208,0
RF.US,D,20010608,000000,18.798,18.798,18.447,18.575,566668,0
RF.US,D,20010611,000000,18.575,18.695,18.474,18.474,629233,0
RF.US,D,20010612,000000,18.44,18.447,18.223,18.42,1499490,0
RF.US,D,20010613,000000,18.567,18.575,18.253,18.283,2103701,0
RF.US,D,20010614,000000,18.23,18.246,17.708,17.945,3160864,0
RF.US,D,20010615,000000,18.001,18.333,17.921,18.253,5955579,0
RF.US,D,20010618,000000,18.246,18.49,18.11,18.396,1141938,0
RF.US,D,20010619,000000,18.386,18.765,18.378,18.702,1440995,0
RF.US,D,20010620,000000,18.672,19.083,18.616,18.919,1031986,0
RF.US,D,20010621,000000,18.961,19.373,18.91,19.355,1309607,0
RF.US,D,20010622,000000,19.348,19.407,18.954,18.961,956908,0
RF.US,D,20010625,000000,18.932,19.217,18.932,19.003,862909,0
RF.US,D,20010626,000000,18.954,19.083,18.829,18.996,1758344,0
RF.US,D,20010627,000000,18.941,19.247,18.814,18.941,716193,0
RF.US,D,20010628,000000,19.026,19.348,18.941,19.247,995228,0
RF.US,D,20010629,000000,19.247,20.006,18.996,19.407,2303591,0
RF.US,D,20010702,000000,19.113,19.557,19.075,19.482,1119108,0
RF.US,D,20010703,000000,19.288,19.468,19.254,19.423,424342,0
RF.US,D,20010705,000000,19.399,19.46,19.32,19.331,411671,0
RF.US,D,20010706,000000,19.364,19.364,18.948,19.05,1654025,0
RF.US,D,20010709,000000,19.153,19.16,18.843,19.017,975052,0
RF.US,D,20010710,000000,19.042,19.05,18.734,18.734,1774142,0
RF.US,D,20010712,000000,18.823,19.105,18.631,19.05,413700,0
RF.US,D,20010713,000000,18.976,19.429,18.876,19.348,661920,0
RF.US,D,20010716,000000,19.254,19.437,19.113,19.182,566822,0
RF.US,D,20010717,000000,19.191,19.524,19.105,19.468,412138,0
RF.US,D,20010718,000000,19.348,19.682,19.288,19.602,696643,0
RF.US,D,20010719,000000,19.648,19.706,19.313,19.429,987254,0
