<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RIV.US,D,20151224,000000,9.97,9.992,9.946,9.946,871106,0
RIV.US,D,20151228,000000,9.958,9.996,9.919,9.919,193757,0
RIV.US,D,20151229,000000,9.9,9.964,9.897,9.951,34909,0
RIV.US,D,20151230,000000,9.958,9.992,9.936,9.992,16487,0
RIV.US,D,20151231,000000,9.992,9.992,9.946,9.97,8193,0
RIV.US,D,20160104,000000,9.919,9.958,9.919,9.958,6893,0
RIV.US,D,20160105,000000,9.976,9.992,9.926,9.93,17366,0
RIV.US,D,20160106,000000,9.919,9.983,9.919,9.919,49818,0
RIV.US,D,20160107,000000,9.897,9.917,9.897,9.897,44661,0
RIV.US,D,20160108,000000,9.919,9.919,9.897,9.897,20201,0
RIV.US,D,20160111,000000,9.908,9.954,9.844,9.844,95984,0
RIV.US,D,20160112,000000,9.895,9.896,9.891,9.891,4579,0
RIV.US,D,20160114,000000,9.871,10.036,9.823,9.891,50466,0
RIV.US,D,20160115,000000,9.93,9.93,9.804,9.804,13990,0
RIV.US,D,20160119,000000,9.976,10.596,9.778,9.778,19161,0
RIV.US,D,20160120,000000,9.769,9.772,9.643,9.643,63719,0
RIV.US,D,20160121,000000,9.643,9.643,9.643,9.643,1071,0
RIV.US,D,20160122,000000,9.798,9.798,9.728,9.728,3297,0
RIV.US,D,20160125,000000,9.656,9.656,9.503,9.574,31576,0
RIV.US,D,20160126,000000,9.527,9.675,9.527,9.531,14868,0
RIV.US,D,20160127,000000,9.532,9.538,9.527,9.531,16676,0
RIV.US,D,20160128,000000,9.527,9.536,9.517,9.517,27070,0
RIV.US,D,20160129,000000,9.564,9.769,9.544,9.547,21228,0
RIV.US,D,20160201,000000,9.527,9.527,9.3849,9.4084,285978,0
RIV.US,D,20160202,000000,9.3456,9.3652,9.2418,9.2418,79019,0
RIV.US,D,20160203,000000,9.2876,9.2876,9.1218,9.1906,32244,0
RIV.US,D,20160204,000000,9.1218,9.1597,8.5251,8.6133,84629,0
RIV.US,D,20160205,000000,8.6359,8.7573,8.5785,8.5922,39362,0
RIV.US,D,20160208,000000,8.7425,8.7425,7.944,8.0315,135497,0
RIV.US,D,20160209,000000,8.0559,8.1267,7.8591,8.0559,90897,0
RIV.US,D,20160210,000000,8.0869,8.3048,7.9777,8.288,63026,0
RIV.US,D,20160211,000000,8.0616,8.846,8.05,8.3477,144151,0
RIV.US,D,20160212,000000,8.4021,8.5027,8.3703,8.3905,46870,0
RIV.US,D,20160216,000000,8.5411,8.5735,8.2948,8.3651,30888,0
RIV.US,D,20160217,000000,8.3905,8.4365,8.0767,8.3371,64634,0
RIV.US,D,20160218,000000,8.3161,8.585,8.1556,8.5636,48862,0
RIV.US,D,20160219,000000,8.5922,8.7122,8.4815,8.6279,29417,0
RIV.US,D,20160222,000000,8.6947,8.7122,8.5242,8.5715,72857,0
RIV.US,D,20160223,000000,8.6169,8.6893,8.5767,8.6831,24411,0
RIV.US,D,20160224,000000,8.6831,9.0022,8.6197,8.9975,53839,0
RIV.US,D,20160225,000000,8.7636,8.7636,8.4666,8.5661,16171,0
RIV.US,D,20160226,000000,8.6665,9.0259,8.6665,9.0259,8112,0
RIV.US,D,20160229,000000,9.0071,9.0817,8.7443,8.7443,28918,0
RIV.US,D,20160301,000000,8.9026,8.9026,8.7122,8.7168,35364,0
RIV.US,D,20160302,000000,8.846,8.846,8.5187,8.6685,32734,0
RIV.US,D,20160303,000000,8.7636,8.9026,8.6685,8.8258,19034,0
RIV.US,D,20160304,000000,8.8258,8.9937,8.7122,8.9891,33602,0
RIV.US,D,20160307,000000,8.9145,9.0865,8.9145,9.0865,11422,0
RIV.US,D,20160308,000000,9.0305,9.0581,8.8128,8.8959,15306,0
RIV.US,D,20160309,000000,8.9504,9.0912,8.9351,9.0912,21018,0
RIV.US,D,20160310,000000,9.0912,9.0912,8.81,8.9504,16775,0
RIV.US,D,20160311,000000,8.9717,9.3495,8.9717,9.1151,47555,0
RIV.US,D,20160314,000000,9.1065,9.1693,9.0193,9.1693,23879,0
RIV.US,D,20160315,000000,9.0599,9.2438,9.0599,9.2118,15397,0
RIV.US,D,20160316,000000,9.3328,9.3328,9.1475,9.2281,15172,0
RIV.US,D,20160317,000000,9.3829,9.4263,9.2059,9.3996,26847,0
RIV.US,D,20160318,000000,9.4174,9.4174,9.1664,9.2242,30295,0
RIV.US,D,20160321,000000,9.2387,9.3167,9.059,9.059,52018,0
RIV.US,D,20160322,000000,9.1199,9.2642,9.1199,9.1693,22519,0
