<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RXN.US,D,20120329,000000,18.764,21.168,18.716,19.699,16783959,0
RXN.US,D,20120330,000000,19.898,21.178,19.898,20.784,1127866,0
RXN.US,D,20120402,000000,20.98,22.065,20.685,21.405,800171,0
RXN.US,D,20120403,000000,21.602,22.065,21.07,21.227,262555,0
RXN.US,D,20120404,000000,20.754,21.355,20.685,21.207,459428,0
RXN.US,D,20120405,000000,21.315,21.513,21.197,21.197,559627,0
RXN.US,D,20120409,000000,20.98,21.788,20.834,21.138,189963,0
RXN.US,D,20120410,000000,21.08,21.827,20.98,21.128,259217,0
RXN.US,D,20120411,000000,20.99,21.66,20.99,21.277,339685,0
RXN.US,D,20120412,000000,22.231,22.488,21.158,21.463,350517,0
RXN.US,D,20120413,000000,21.385,21.523,21.03,21.217,338082,0
RXN.US,D,20120416,000000,21.168,21.768,21,21.227,331829,0
RXN.US,D,20120417,000000,21.425,21.523,21.158,21.315,295989,0
RXN.US,D,20120418,000000,21.315,21.621,21.168,21.533,403632,0
RXN.US,D,20120419,000000,21.385,21.425,21.098,21.277,230585,0
RXN.US,D,20120420,000000,21.325,21.405,20.99,21.128,398700,0
RXN.US,D,20120423,000000,21,21.277,20.744,21.08,189785,0
RXN.US,D,20120424,000000,21.217,21.425,21.138,21.217,72144,0
RXN.US,D,20120425,000000,21.473,21.473,20.883,21.217,115635,0
RXN.US,D,20120426,000000,21.138,21.257,21.06,21.207,194040,0
RXN.US,D,20120427,000000,20.153,21.602,20.153,21.287,349830,0
RXN.US,D,20120430,000000,21.277,22.261,21.187,21.748,219376,0
RXN.US,D,20120501,000000,21.857,21.966,21.641,21.67,496363,0
RXN.US,D,20120502,000000,21.562,22.115,21.562,21.7,194833,0
RXN.US,D,20120503,000000,21.641,21.768,21.227,21.473,93482,0
RXN.US,D,20120504,000000,21.247,21.473,21.227,21.305,78166,0
RXN.US,D,20120507,000000,21.227,21.807,21.187,21.69,322675,0
RXN.US,D,20120508,000000,21.473,21.69,21.187,21.385,319928,0
RXN.US,D,20120509,000000,21.138,21.415,20.883,21.138,559491,0
RXN.US,D,20120510,000000,21.287,21.621,21.108,21.415,531082,0
RXN.US,D,20120511,000000,21.237,21.73,21.178,21.7,404845,0
RXN.US,D,20120514,000000,21.453,21.473,21.05,21.187,334491,0
RXN.US,D,20120515,000000,21.187,21.227,19.948,20.007,320780,0
RXN.US,D,20120516,000000,20.222,20.241,19.406,19.679,464466,0
RXN.US,D,20120517,000000,19.749,19.829,19.416,19.639,412387,0
RXN.US,D,20120518,000000,19.639,19.639,18.716,19.06,746615,0
RXN.US,D,20120521,000000,19.06,19.679,19.01,19.396,365891,0
