<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SBR.US,D,20050225,000000,18.708,19.008,18.666,19.008,49669,0
SBR.US,D,20050228,000000,19.077,19.113,18.867,19.046,31846,0
SBR.US,D,20050301,000000,19.077,19.309,19.014,19.09,34815,0
SBR.US,D,20050302,000000,19.175,19.52,19.175,19.407,35879,0
SBR.US,D,20050303,000000,19.434,19.786,19.434,19.614,26326,0
SBR.US,D,20050304,000000,19.693,20.241,19.693,19.963,63894,0
SBR.US,D,20050307,000000,20.021,20.092,19.465,19.546,45218,0
SBR.US,D,20050308,000000,19.483,19.781,19.465,19.771,30993,0
SBR.US,D,20050309,000000,19.865,19.902,19.734,19.763,28866,0
SBR.US,D,20050310,000000,19.768,19.768,18.045,18.226,195302,0
SBR.US,D,20050311,000000,18.09,19.386,18.069,18.838,126304,0
SBR.US,D,20050314,000000,18.838,18.848,18.255,18.277,58162,0
SBR.US,D,20050315,000000,18.324,18.47,18.192,18.365,31416,0
SBR.US,D,20050316,000000,18.324,18.324,17.859,18.014,46919,0
SBR.US,D,20050317,000000,18.086,18.651,18.086,18.651,41817,0
SBR.US,D,20050318,000000,18.725,18.838,18.725,18.785,21228,0
SBR.US,D,20050321,000000,18.612,18.796,18.398,18.426,30141,0
SBR.US,D,20050322,000000,18.379,18.607,17.832,17.854,38855,0
SBR.US,D,20050323,000000,17.899,17.945,17.382,17.62,82150,0
SBR.US,D,20050324,000000,17.878,18.152,17.854,18.152,71332,0
SBR.US,D,20050328,000000,18.178,18.178,17.854,17.907,47131,0
SBR.US,D,20050329,000000,17.949,18.132,17.489,17.489,50097,0
SBR.US,D,20050330,000000,17.452,17.548,17.063,17.095,68998,0
SBR.US,D,20050331,000000,17.215,17.66,17.204,17.408,50735,0
SBR.US,D,20050401,000000,17.642,17.923,17.614,17.923,42458,0
SBR.US,D,20050404,000000,17.954,18.557,17.954,18.183,86609,0
SBR.US,D,20050405,000000,18.183,18.936,18.183,18.867,87252,0
SBR.US,D,20050406,000000,18.838,19.1,18.666,18.867,75358,0
SBR.US,D,20050407,000000,18.947,19.267,18.523,18.776,75570,0
SBR.US,D,20050408,000000,18.781,18.916,18.651,18.867,35026,0
SBR.US,D,20050411,000000,18.91,19.267,18.817,19.124,67494,0
SBR.US,D,20050412,000000,19.121,19.313,18.725,18.791,74722,0
SBR.US,D,20050413,000000,18.651,18.651,17.949,17.972,47333,0
SBR.US,D,20050414,000000,17.899,18.348,17.594,18.018,66015,0
SBR.US,D,20050415,000000,18.04,18.086,17.666,17.899,79391,0
SBR.US,D,20050418,000000,17.832,17.832,17.29,17.571,52438,0
SBR.US,D,20050419,000000,17.571,17.945,17.571,17.883,28238,0
SBR.US,D,20050420,000000,17.928,18.112,17.899,17.907,16758,0
SBR.US,D,20050421,000000,17.958,18.838,17.958,18.73,30778,0
SBR.US,D,20050422,000000,18.673,18.817,18.297,18.444,62835,0
SBR.US,D,20050425,000000,18.501,18.697,18.235,18.632,76006,0
SBR.US,D,20050426,000000,18.673,18.838,18.651,18.744,19321,0
SBR.US,D,20050427,000000,18.796,18.796,18.426,18.444,31846,0
SBR.US,D,20050428,000000,18.424,18.444,18.095,18.183,40121,0
SBR.US,D,20050429,000000,18.197,18.271,18.018,18.112,33338,0
SBR.US,D,20050502,000000,18.206,18.271,17.996,18.09,35243,0
SBR.US,D,20050503,000000,18.09,18.137,17.972,17.986,35462,0
SBR.US,D,20050504,000000,17.986,18.231,17.976,18.206,42458,0
SBR.US,D,20050505,000000,18.255,18.368,18.183,18.324,16758,0
SBR.US,D,20050506,000000,18.444,18.697,18.34,18.505,26540,0
SBR.US,D,20050509,000000,18.534,18.805,18.534,18.805,17195,0
SBR.US,D,20050510,000000,18.832,18.838,18.612,18.622,30778,0
SBR.US,D,20050511,000000,18.673,18.838,18.617,18.697,27593,0
SBR.US,D,20050512,000000,18.584,18.651,18.183,18.281,20593,0
SBR.US,D,20050513,000000,18.206,18.444,18.14,18.371,20174,0
SBR.US,D,20050516,000000,18.368,18.488,17.972,18.018,50735,0
SBR.US,D,20050517,000000,17.958,18.202,17.954,17.958,19744,0
SBR.US,D,20050518,000000,17.958,18.178,17.949,18.09,24206,0
SBR.US,D,20050519,000000,18.147,18.226,18.137,18.14,9339,0
SBR.US,D,20050520,000000,18.188,18.211,18.105,18.112,14857,0
SBR.US,D,20050523,000000,18.156,18.156,17.709,17.878,39691,0
SBR.US,D,20050524,000000,17.899,18.014,17.788,17.996,14219,0
SBR.US,D,20050525,000000,17.878,18.132,17.836,18.112,12308,0
SBR.US,D,20050526,000000,17.996,18.178,17.854,18.137,46919,0
SBR.US,D,20050527,000000,18.144,18.515,18.144,18.374,33338,0
SBR.US,D,20050531,000000,18.651,18.673,18.324,18.424,38632,0
SBR.US,D,20050601,000000,18.418,18.637,18.398,18.637,40760,0
SBR.US,D,20050602,000000,18.673,18.716,18.457,18.716,24634,0
SBR.US,D,20050603,000000,18.725,18.817,18.651,18.767,24841,0
SBR.US,D,20050606,000000,18.773,18.817,18.689,18.817,33338,0
SBR.US,D,20050607,000000,18.762,18.811,18.762,18.762,18462,0
SBR.US,D,20050608,000000,18.791,18.959,18.625,18.725,74514,0
SBR.US,D,20050609,000000,18.752,18.838,18.651,18.757,22499,0
SBR.US,D,20050610,000000,18.776,18.838,18.752,18.838,28238,0
SBR.US,D,20050613,000000,18.796,18.91,18.534,18.907,22287,0
SBR.US,D,20050614,000000,18.91,18.947,18.697,18.867,26752,0
SBR.US,D,20050615,000000,18.805,18.959,18.762,18.916,24404,0
SBR.US,D,20050616,000000,18.821,18.929,18.725,18.883,57524,0
SBR.US,D,20050617,000000,18.827,19.145,18.827,19.145,29712,0
SBR.US,D,20050620,000000,19.265,19.313,18.983,19.309,23781,0
SBR.US,D,20050621,000000,19.291,19.313,19.13,19.246,33541,0
SBR.US,D,20050622,000000,19.275,19.671,19.194,19.423,21228,0
SBR.US,D,20050623,000000,19.423,19.502,19.077,19.334,27381,0
SBR.US,D,20050624,000000,19.457,19.687,19.169,19.313,18898,0
SBR.US,D,20050627,000000,19.407,19.786,19.407,19.781,37147,0
SBR.US,D,20050628,000000,19.781,19.786,19.313,19.483,55620,0
SBR.US,D,20050629,000000,19.457,19.781,19.359,19.781,49894,0
SBR.US,D,20050630,000000,19.763,20.19,19.682,19.923,34184,0
SBR.US,D,20050701,000000,19.947,20.49,19.947,20.419,40974,0
SBR.US,D,20050705,000000,20.536,21.434,20.536,21.245,60289,0
SBR.US,D,20050706,000000,21.347,21.994,21.245,21.994,55832,0
SBR.US,D,20050707,000000,21.888,22.139,21.56,22.07,51164,0
SBR.US,D,20050708,000000,22.07,22.565,22.07,22.375,61142,0
SBR.US,D,20050711,000000,22.375,22.382,21.645,21.76,62406,0
SBR.US,D,20050712,000000,21.672,22.118,21.645,21.919,39910,0
SBR.US,D,20050713,000000,21.967,21.967,21.672,21.839,22499,0
SBR.US,D,20050714,000000,21.927,22.065,20.993,21.594,56680,0
SBR.US,D,20050715,000000,21.733,21.733,21.434,21.599,17835,0
SBR.US,D,20050718,000000,21.479,21.599,21.263,21.449,21649,0
SBR.US,D,20050719,000000,21.905,22.021,21.715,21.949,30565,0
SBR.US,D,20050720,000000,21.949,22.095,21.905,22.047,9548,0
SBR.US,D,20050721,000000,22.047,22.139,21.76,22.086,18686,0
SBR.US,D,20050722,000000,22.137,22.139,22.047,22.049,23564,0
SBR.US,D,20050725,000000,22.329,22.329,22.032,22.086,41186,0
SBR.US,D,20050726,000000,22.12,22.181,21.871,21.927,24206,0
SBR.US,D,20050727,000000,22.021,22.021,21.616,21.733,26115,0
SBR.US,D,20050728,000000,21.835,21.835,21.672,21.677,9757,0
SBR.US,D,20050729,000000,21.943,21.943,21.76,21.76,19950,0
SBR.US,D,20050801,000000,21.866,22.095,21.76,21.858,28866,0
SBR.US,D,20050802,000000,21.972,21.975,21.905,21.949,25476,0
SBR.US,D,20050803,000000,22.047,22.254,22.001,22.146,31416,0
SBR.US,D,20050804,000000,22.236,22.329,22.146,22.24,28021,0
SBR.US,D,20050805,000000,22.282,22.516,22.282,22.469,21858,0
SBR.US,D,20050808,000000,22.61,24.004,22.61,23.771,71968,0
SBR.US,D,20050809,000000,23.771,23.771,23.055,23.2,42243,0
SBR.US,D,20050810,000000,23.319,23.413,22.958,23.032,30351,0
SBR.US,D,20050811,000000,22.61,22.663,22.375,22.375,81312,0
SBR.US,D,20050812,000000,22.375,22.375,22.292,22.366,32689,0
SBR.US,D,20050815,000000,22.021,22.209,21.781,21.821,60495,0
SBR.US,D,20050816,000000,21.313,21.821,21.289,21.71,75358,0
SBR.US,D,20050817,000000,22.139,22.139,21.199,21.279,49252,0
SBR.US,D,20050818,000000,21.162,21.162,20.264,20.843,103160,0
SBR.US,D,20050819,000000,20.961,21.715,20.961,21.672,62835,0
SBR.US,D,20050822,000000,21.789,22.095,21.789,21.835,43094,0
SBR.US,D,20050823,000000,21.858,22.236,21.372,21.527,38424,0
SBR.US,D,20050824,000000,21.582,21.672,21.47,21.474,91495,0
SBR.US,D,20050825,000000,21.594,21.669,21.199,21.434,39268,0
SBR.US,D,20050826,000000,21.439,21.513,21.27,21.381,30993,0
SBR.US,D,20050829,000000,21.715,21.961,21.576,21.955,71332,0
SBR.US,D,20050830,000000,21.905,22.623,21.905,22.279,56467,0
SBR.US,D,20050831,000000,22.4,22.61,22.162,22.41,40541,0
SBR.US,D,20050901,000000,22.286,22.605,21.961,22.445,61558,0
SBR.US,D,20050902,000000,22.445,22.533,22.139,22.279,30141,0
SBR.US,D,20050906,000000,22.4,22.577,22.304,22.545,28445,0
SBR.US,D,20050907,000000,22.663,22.777,22.61,22.695,25259,0
SBR.US,D,20050908,000000,22.808,22.889,22.375,22.842,55832,0
SBR.US,D,20050909,000000,22.931,23.069,22.767,22.99,32481,0
SBR.US,D,20050912,000000,22.92,23.225,22.751,23.095,38855,0
SBR.US,D,20050913,000000,22.838,22.999,22.795,22.917,24404,0
SBR.US,D,20050914,000000,22.92,23.315,22.92,23.225,18061,0
SBR.US,D,20050915,000000,23.268,23.443,23.185,23.319,21228,0
SBR.US,D,20050916,000000,23.252,23.491,23.176,23.349,19950,0
SBR.US,D,20050919,000000,23.555,23.954,23.415,23.555,42458,0
SBR.US,D,20050920,000000,23.44,23.617,22.803,23.127,49252,0
SBR.US,D,20050921,000000,23.363,23.53,23.032,23.252,28238,0
SBR.US,D,20050922,000000,23.268,23.639,23.268,23.463,33541,0
SBR.US,D,20050923,000000,23.469,23.53,23.363,23.524,21228,0
SBR.US,D,20050926,000000,23.642,23.666,23.481,23.578,33967,0
SBR.US,D,20050927,000000,23.623,24.025,23.53,23.909,28021,0
SBR.US,D,20050928,000000,23.959,24.025,23.699,23.86,29512,0
SBR.US,D,20050929,000000,23.825,24.49,23.825,24.49,26115,0
SBR.US,D,20050930,000000,24.446,24.446,24.025,24.207,31846,0
SBR.US,D,20051003,000000,24.207,24.588,24.137,24.588,27381,0
SBR.US,D,20051004,000000,24.566,24.723,24.071,24.12,39054,0
SBR.US,D,20051005,000000,24.12,24.12,23.159,23.208,54765,0
SBR.US,D,20051006,000000,22.516,22.516,21.434,21.497,146900,0
SBR.US,D,20051007,000000,21.613,22.605,21.613,22.539,53287,0
SBR.US,D,20051010,000000,22.61,22.99,22.61,22.99,38855,0
SBR.US,D,20051011,000000,23.027,23.08,22.658,22.958,23990,0
SBR.US,D,20051012,000000,23.077,23.196,22.425,22.485,21858,0
SBR.US,D,20051013,000000,22.46,22.46,21.363,21.454,33112,0
SBR.US,D,20051014,000000,20.727,21.353,20.49,21.313,163040,0
SBR.US,D,20051017,000000,21.434,21.807,21.434,21.669,61142,0
SBR.US,D,20051018,000000,21.554,21.672,21.367,21.502,31640,0
SBR.US,D,20051019,000000,21.502,21.502,20.845,21.167,35243,0
SBR.US,D,20051020,000000,21.199,21.313,20.119,20.184,54350,0
SBR.US,D,20051021,000000,19.833,20.066,18.942,19.546,174707,0
SBR.US,D,20051024,000000,19.359,20.553,19.267,20.49,69419,0
SBR.US,D,20051025,000000,20.589,20.89,20.589,20.745,37147,0
SBR.US,D,20051026,000000,20.964,21.245,20.727,20.747,39268,0
SBR.US,D,20051027,000000,20.822,20.822,20.211,20.221,20593,0
