<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPR.US,D,20061120,000000,25.461,25.461,25.461,25.461,0,0
SPR.US,D,20061121,000000,26.98,28.694,26.911,28.4,27898326,0
SPR.US,D,20061122,000000,28.498,29.025,27.949,28.742,4314257,0
SPR.US,D,20061124,000000,28.4,28.459,28.165,28.205,729201,0
SPR.US,D,20061127,000000,28.215,28.301,27.323,27.801,2819190,0
SPR.US,D,20061128,000000,27.801,27.801,27.567,27.723,1103454,0
SPR.US,D,20061129,000000,27.723,28.644,27.723,28.42,1189027,0
SPR.US,D,20061130,000000,28.547,28.694,28.065,28.547,853171,0
SPR.US,D,20061201,000000,28.644,28.831,28.4,28.547,948446,0
SPR.US,D,20061204,000000,28.89,29.27,28.742,29.182,885845,0
SPR.US,D,20061205,000000,29.28,29.807,29.182,29.632,756262,0
SPR.US,D,20061206,000000,29.622,30.416,29.545,29.917,1056788,0
SPR.US,D,20061207,000000,29.867,30.259,29.428,30.239,441036,0
SPR.US,D,20061208,000000,30.308,30.985,30.239,30.386,522623,0
SPR.US,D,20061211,000000,30.633,30.838,30.455,30.613,919649,0
SPR.US,D,20061212,000000,30.848,31.044,30.21,30.406,359037,0
SPR.US,D,20061213,000000,30.376,30.553,30.21,30.318,1194541,0
SPR.US,D,20061214,000000,30.338,30.406,29.977,30.017,924959,0
SPR.US,D,20061215,000000,29.917,30.113,28.89,30.065,2830115,0
SPR.US,D,20061218,000000,30.065,31.093,29.947,30.152,932924,0
SPR.US,D,20061219,000000,30.065,30.445,30.055,30.338,727773,0
SPR.US,D,20061220,000000,30.259,30.798,30.239,30.613,346477,0
SPR.US,D,20061221,000000,30.563,30.643,30.406,30.563,418466,0
SPR.US,D,20061222,000000,30.503,30.73,30.366,30.683,387630,0
SPR.US,D,20061226,000000,30.613,30.703,30.376,30.553,199636,0
SPR.US,D,20061227,000000,30.553,31.074,30.523,30.848,206272,0
SPR.US,D,20061228,000000,30.76,31.955,30.663,31.494,469014,0
SPR.US,D,20061229,000000,31.581,32.953,31.405,32.779,966925,0
SPR.US,D,20070103,000000,31.336,31.336,30.18,30.613,2509171,0
SPR.US,D,20070104,000000,30.416,30.603,29.251,29.867,1168808,0
SPR.US,D,20070105,000000,29.867,29.867,29.073,29.38,754018,0
SPR.US,D,20070108,000000,29.28,29.867,28.634,29.36,1454221,0
SPR.US,D,20070109,000000,29.28,29.573,29.26,29.428,855621,0
SPR.US,D,20070110,000000,29.515,29.67,29.29,29.447,296848,0
SPR.US,D,20070111,000000,29.69,30.406,29.525,29.997,421427,0
SPR.US,D,20070112,000000,30.288,31.809,30.288,30.583,545499,0
SPR.US,D,20070116,000000,30.653,30.888,29.867,30.2,594411,0
SPR.US,D,20070117,000000,30.358,30.779,29.768,30.239,469627,0
SPR.US,D,20070118,000000,30.17,30.358,29.428,29.67,327176,0
SPR.US,D,20070119,000000,29.573,30.094,29.418,29.622,583691,0
SPR.US,D,20070122,000000,29.602,29.817,28.742,29.063,430413,0
SPR.US,D,20070123,000000,28.938,29.515,28.861,29.457,386199,0
SPR.US,D,20070124,000000,29.67,29.817,29.142,29.399,487088,0
SPR.US,D,20070125,000000,29.525,29.807,28.625,28.722,857561,0
SPR.US,D,20070126,000000,28.694,28.722,27.713,28.41,1065979,0
SPR.US,D,20070129,000000,28.35,28.644,27.959,28.459,404784,0
SPR.US,D,20070130,000000,28.4,28.851,28.155,28.615,266010,0
