<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SRV.US,D,20070824,000000,143.29,143.29,143.29,143.29,0,0
SRV.US,D,20070827,000000,143.29,143.29,137.01,142.57,159927,0
SRV.US,D,20070828,000000,141.52,141.52,138.78,139.38,10647,0
SRV.US,D,20070829,000000,140.43,141.38,135.45,136.87,13775,0
SRV.US,D,20070830,000000,138.28,138.54,136.11,137.94,7552,0
SRV.US,D,20070831,000000,138.28,139.72,137.22,139,2541,0
SRV.US,D,20070904,000000,139,139.72,137.43,138.21,4634,0
SRV.US,D,20070905,000000,137.82,139.15,136.87,138.93,2107,0
SRV.US,D,20070906,000000,138.62,138.78,136.87,137.22,2067,0
SRV.US,D,20070907,000000,137.22,137.94,136.11,137.22,1843,0
SRV.US,D,20070910,000000,137.51,137.94,134.91,137.01,4755,0
SRV.US,D,20070911,000000,137.3,138.39,136.76,136.76,753,0
SRV.US,D,20070912,000000,137.59,137.59,135.1,137.59,1033,0
SRV.US,D,20070913,000000,136.26,139.15,136.26,137.43,1240,0
SRV.US,D,20070914,000000,138.13,138.13,136.7,137.22,1453,0
SRV.US,D,20070917,000000,137.51,141.8,137.51,140.93,2347,0
SRV.US,D,20070918,000000,141.42,143.29,140.32,141.22,3277,0
SRV.US,D,20070919,000000,141.22,143.29,140.7,141.73,2037,0
SRV.US,D,20070920,000000,142.05,142.57,140.64,140.64,2176,0
SRV.US,D,20070921,000000,140.93,142.66,140.07,141.8,3840,0
SRV.US,D,20070924,000000,139.67,141.12,137.94,140.38,2024,0
SRV.US,D,20070925,000000,140.43,142.38,133.64,140.43,4508,0
SRV.US,D,20070926,000000,141.52,141.52,133.29,135.96,2976,0
SRV.US,D,20070927,000000,136.11,137.3,136.11,137.3,1423,0
SRV.US,D,20070928,000000,135.6,137.59,135.6,136.11,487,0
SRV.US,D,20071001,000000,136.76,136.76,135.72,136.11,5764,0
SRV.US,D,20071002,000000,136.11,136.11,133.5,134.32,4954,0
SRV.US,D,20071003,000000,134.32,136.87,132.66,134.32,2332,0
SRV.US,D,20071004,000000,131.83,135.96,128.97,135.51,3365,0
SRV.US,D,20071005,000000,136.19,137.59,136.11,136.5,7077,0
SRV.US,D,20071008,000000,136.19,139.67,136.11,137.9,5739,0
SRV.US,D,20071009,000000,137.94,139,136.11,138.62,2976,0
SRV.US,D,20071010,000000,138.28,139.38,137.94,137.94,4284,0
SRV.US,D,20071011,000000,138.28,139.38,137.94,139,5707,0
SRV.US,D,20071012,000000,139,141.12,126.97,137.22,5793,0
SRV.US,D,20071015,000000,136.87,138.93,129.89,134.91,3391,0
SRV.US,D,20071016,000000,133.64,133.64,130.78,131.16,2750,0
SRV.US,D,20071017,000000,130.78,132.72,124.4,127.19,9585,0
SRV.US,D,20071018,000000,126.13,130.61,126.13,130.47,7340,0
SRV.US,D,20071019,000000,130.14,133.83,123.26,128.97,3727,0
SRV.US,D,20071022,000000,128.61,129.68,125.36,128.97,2107,0
SRV.US,D,20071023,000000,128.24,128.24,121.82,126.13,9085,0
SRV.US,D,20071024,000000,125.74,127.19,120.01,125.36,8345,0
SRV.US,D,20071025,000000,126.48,127.96,122.52,123.94,3475,0
SRV.US,D,20071026,000000,126.13,131.83,123.61,124.69,5527,0
SRV.US,D,20071029,000000,123.94,125.3,121.07,124.59,3963,0
SRV.US,D,20071030,000000,124.59,130.47,123.08,128.97,9185,0
SRV.US,D,20071031,000000,128.24,128.24,123.61,126.66,9658,0
SRV.US,D,20071101,000000,126.18,127.74,123.34,124.59,5584,0
SRV.US,D,20071102,000000,124.4,126.13,121.76,123.94,5386,0
SRV.US,D,20071105,000000,123.94,127.69,121.87,123.26,4621,0
SRV.US,D,20071106,000000,123.75,126.48,121.32,121.32,4731,0
SRV.US,D,20071107,000000,120.09,123.61,116.77,121.93,8484,0
SRV.US,D,20071108,000000,120.94,130.25,119.65,128.97,15088,0
SRV.US,D,20071109,000000,128.24,128.24,122.6,122.89,5121,0
SRV.US,D,20071112,000000,122.95,128.97,118.6,121.52,11292,0
SRV.US,D,20071113,000000,119.65,124.17,116.1,116.47,12058,0
SRV.US,D,20071114,000000,117.57,119.65,112.98,116.37,17461,0
SRV.US,D,20071115,000000,116.1,118.22,112.91,114.63,14013,0
SRV.US,D,20071116,000000,114.34,118.67,114.34,114.72,17292,0
SRV.US,D,20071119,000000,116.14,118.96,111.78,111.86,9072,0
SRV.US,D,20071120,000000,113.59,113.87,109.4,111.46,9198,0
SRV.US,D,20071121,000000,110.72,112.84,106.11,112.47,14905,0
SRV.US,D,20071123,000000,113.14,113.72,111.65,113.14,3881,0
SRV.US,D,20071126,000000,121.87,121.87,110.32,112.84,5369,0
SRV.US,D,20071127,000000,114.63,115.72,110.05,112.42,9185,0
SRV.US,D,20071128,000000,112.05,117.52,112.05,116.14,7763,0
SRV.US,D,20071129,000000,115.35,116.93,113.59,115.2,11111,0
SRV.US,D,20071130,000000,115.49,121.24,112.84,119.71,15340,0
SRV.US,D,20071203,000000,118.22,118.8,113.79,114.63,9810,0
SRV.US,D,20071204,000000,114.63,114.92,112.6,113.95,8498,0
SRV.US,D,20071205,000000,114.63,117.07,111.86,113.3,9100,0
SRV.US,D,20071206,000000,112.84,115.27,111.14,114.63,22665,0
SRV.US,D,20071207,000000,114.63,116.64,111.93,114.63,8710,0
SRV.US,D,20071210,000000,114.63,115.44,112.47,112.98,12224,0
SRV.US,D,20071211,000000,113.87,115.64,109.67,112.2,12715,0
SRV.US,D,20071212,000000,113.95,114.34,108.34,112.25,16120,0
SRV.US,D,20071213,000000,112.42,112.42,109.05,109.62,12143,0
SRV.US,D,20071214,000000,109.49,112.84,108.72,109.57,9185,0
SRV.US,D,20071217,000000,109.49,109.75,106.2,107.47,10692,0
SRV.US,D,20071218,000000,107.52,109.67,106.6,108.72,18897,0
SRV.US,D,20071219,000000,107.83,110.1,106.04,107.59,12211,0
SRV.US,D,20071220,000000,107.47,112.84,107.18,108.25,19176,0
SRV.US,D,20071221,000000,107.77,112.84,107.68,111.27,16720,0
SRV.US,D,20071224,000000,111.27,114.48,109.34,114.25,5137,0
SRV.US,D,20071226,000000,113.37,118.14,113.37,115.35,9994,0
SRV.US,D,20071227,000000,116.1,116.77,112.33,112.42,12805,0
SRV.US,D,20071228,000000,112.42,113.95,110.89,112.6,15917,0
SRV.US,D,20071231,000000,112.47,114.55,109.4,114.34,27911,0
SRV.US,D,20080102,000000,114.72,115.88,114.63,114.72,3657,0
SRV.US,D,20080103,000000,115.35,119.95,115.35,118.22,6912,0
SRV.US,D,20080104,000000,117.93,117.93,115.35,115.72,4983,0
SRV.US,D,20080107,000000,115.72,115.72,112.33,113.24,5981,0
SRV.US,D,20080108,000000,113.95,117.07,113.95,116.1,4481,0
SRV.US,D,20080109,000000,114.99,116.85,114.99,116.85,3458,0
SRV.US,D,20080110,000000,116.14,118.14,116.14,117.15,3266,0
SRV.US,D,20080111,000000,117.15,118.6,115.58,116.47,5739,0
SRV.US,D,20080114,000000,116.52,117.43,115.49,115.64,4409,0
SRV.US,D,20080115,000000,116.1,117.22,114.99,115.49,5164,0
SRV.US,D,20080116,000000,115.49,116.47,114.63,115.94,2961,0
SRV.US,D,20080117,000000,117.22,117.63,115.72,116.47,4647,0
SRV.US,D,20080118,000000,116.14,120.54,114.63,116.1,3738,0
SRV.US,D,20080122,000000,114.1,114.72,112.47,114.63,14397,0
SRV.US,D,20080123,000000,113.59,116.47,111.53,114.63,7186,0
SRV.US,D,20080124,000000,116.1,117.15,112.84,116.77,5805,0
SRV.US,D,20080125,000000,117.57,117.57,116.47,117.15,2902,0
SRV.US,D,20080128,000000,117.57,118.96,117.57,118.96,3825,0
SRV.US,D,20080129,000000,118.8,120.54,117.87,119.41,6866,0
SRV.US,D,20080130,000000,119.26,120.37,118.46,119.71,4564,0
SRV.US,D,20080131,000000,118.96,124.69,118.96,123.26,9687,0
SRV.US,D,20080201,000000,122.89,127.34,122.23,125.6,6519,0
SRV.US,D,20080204,000000,125.81,127.1,124.17,126.25,4634,0
SRV.US,D,20080205,000000,126.13,126.75,124.54,126.48,2072,0
SRV.US,D,20080206,000000,126.48,127.19,123.88,123.88,3069,0
SRV.US,D,20080207,000000,123.61,123.61,121.07,122.79,2205,0
SRV.US,D,20080208,000000,121.37,123.68,119.65,123.26,1701,0
SRV.US,D,20080211,000000,123.75,126.06,122.95,123.16,2332,0
SRV.US,D,20080212,000000,124.3,126.4,122.89,124.17,2233,0
SRV.US,D,20080213,000000,125.1,127.53,123.68,125.74,4116,0
SRV.US,D,20080214,000000,125.24,126.32,123.61,125.36,4061,0
SRV.US,D,20080215,000000,125.36,125.5,121.17,124.45,3001,0
SRV.US,D,20080219,000000,124.45,124.59,123.39,123.54,1772,0
SRV.US,D,20080220,000000,124.69,125.15,121.82,122.66,2386,0
SRV.US,D,20080221,000000,124.3,124.3,119.26,119.65,3141,0
