<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STAG.US,D,20110614,000000,6.9225,6.9225,6.7814,6.8156,355371,0
STAG.US,D,20110615,000000,6.6522,6.849,6.5167,6.8156,214839,0
STAG.US,D,20110616,000000,6.7986,6.8897,6.7986,6.8374,231905,0
STAG.US,D,20110617,000000,6.8374,6.8844,6.7599,6.8374,246823,0
STAG.US,D,20110620,000000,6.8216,6.9164,0.6793,6.8786,133470,0
STAG.US,D,20110621,000000,6.9005,7.1145,6.81,7.0849,199425,0
STAG.US,D,20110622,000000,7.0419,7.0807,6.9284,7.0807,138009,0
STAG.US,D,20110623,000000,7.147,7.147,6.7986,7.0534,190876,0
STAG.US,D,20110624,000000,7.0358,7.0688,6.7862,6.8897,2977403,0
STAG.US,D,20110627,000000,6.8897,6.9781,6.7543,6.9005,220701,0
STAG.US,D,20110628,000000,6.9065,6.9682,6.7711,6.8844,250144,0
STAG.US,D,20110629,000000,6.8951,6.9284,6.7711,6.843,132739,0
STAG.US,D,20110630,000000,6.8619,6.8977,6.7901,6.8977,100423,0
STAG.US,D,20110701,000000,6.9164,6.9503,6.8659,6.9503,204027,0
STAG.US,D,20110705,000000,6.9503,7.0577,6.9225,7.0237,133802,0
STAG.US,D,20110706,000000,7.0358,7.1703,7.0298,7.1523,267876,0
STAG.US,D,20110707,000000,7.1938,7.2046,6.9164,7.1703,104917,0
STAG.US,D,20110708,000000,7.0754,7.2046,7.0419,7.1523,60524,0
STAG.US,D,20110711,000000,7.0754,7.1703,7.0419,7.1354,88182,0
STAG.US,D,20110712,000000,7.1408,7.2107,7.0534,7.159,172766,0
STAG.US,D,20110713,000000,7.1645,7.1881,7.097,7.1295,50032,0
STAG.US,D,20110714,000000,7.1145,7.1258,7.0754,7.0849,33026,0
STAG.US,D,20110715,000000,7.0754,7.1078,6.9895,7.1018,96871,0
STAG.US,D,20110718,000000,7.1018,7.1199,7.0358,7.0534,109541,0
STAG.US,D,20110719,000000,7.0849,7.1018,6.9738,7.0754,79408,0
STAG.US,D,20110720,000000,6.9781,7.0298,6.9225,6.9781,61532,0
STAG.US,D,20110721,000000,6.9827,7.1295,6.9225,7.092,90803,0
STAG.US,D,20110722,000000,7.1145,7.1145,6.9827,6.9895,34130,0
STAG.US,D,20110725,000000,6.9618,7.1199,6.957,7.0072,96462,0
STAG.US,D,20110726,000000,6.9858,7.0577,6.8659,7.0399,61394,0
STAG.US,D,20110727,000000,7.0358,7.0534,6.8216,6.8659,107352,0
STAG.US,D,20110728,000000,6.8844,6.9955,6.8604,6.9164,40520,0
STAG.US,D,20110729,000000,6.8786,7.0094,6.8264,6.917,66255,0
STAG.US,D,20110801,000000,7.0358,7.0358,6.8659,6.9116,47881,0
STAG.US,D,20110802,000000,6.9131,7.015,6.7579,6.7579,78402,0
STAG.US,D,20110803,000000,6.7764,6.7764,6.6191,6.6191,65272,0
STAG.US,D,20110804,000000,6.6191,6.6584,6.0448,6.0448,187892,0
STAG.US,D,20110805,000000,5.6732,6.3089,5.3918,6.1687,305217,0
STAG.US,D,20110808,000000,5.8196,6.1687,5.465,5.4705,154409,0
STAG.US,D,20110809,000000,5.5269,5.8309,5.3753,5.8196,189695,0
STAG.US,D,20110810,000000,5.769,5.8249,5.4425,5.5781,283549,0
STAG.US,D,20110811,000000,5.5947,5.9375,5.5494,5.8309,208484,0
STAG.US,D,20110812,000000,5.8309,5.8309,5.5999,5.6169,90681,0
STAG.US,D,20110815,000000,5.6393,5.769,5.6282,5.7069,45311,0
STAG.US,D,20110816,000000,5.7069,5.9375,5.7069,5.8982,197695,0
STAG.US,D,20110817,000000,5.9095,5.9776,5.8925,5.9041,76569,0
STAG.US,D,20110818,000000,5.9375,6.0223,5.769,5.814,202236,0
STAG.US,D,20110819,000000,5.7575,5.8196,5.7126,5.7575,79004,0
STAG.US,D,20110822,000000,5.8534,5.9095,5.6336,5.6732,95243,0
STAG.US,D,20110823,000000,5.6901,5.9266,5.6901,5.9266,347751,0
STAG.US,D,20110824,000000,5.9041,6.0505,5.8423,5.9266,76525,0
STAG.US,D,20110825,000000,5.9883,6.0001,5.7745,5.7745,50481,0
STAG.US,D,20110826,000000,5.7575,5.9663,5.7575,5.9375,58037,0
STAG.US,D,20110829,000000,5.9883,6.2474,5.859,6.0167,100438,0
STAG.US,D,20110830,000000,6.0277,6.0951,5.9375,6.0051,72441,0
STAG.US,D,20110831,000000,6.0484,6.2247,5.913,6.054,150055,0
STAG.US,D,20110901,000000,6.0505,6.1346,5.9822,5.9883,75339,0
STAG.US,D,20110902,000000,5.8893,6.4369,5.7181,5.7655,94385,0
STAG.US,D,20110906,000000,5.6326,5.9036,5.6268,5.8111,73383,0
STAG.US,D,20110907,000000,5.8111,6.2324,5.794,6.1918,168977,0
STAG.US,D,20110908,000000,6.1162,6.3016,5.8111,5.9438,70823,0
STAG.US,D,20110909,000000,5.9036,5.9438,5.771,5.8919,104343,0
STAG.US,D,20110912,000000,5.8196,5.8758,5.6845,5.8022,83745,0
STAG.US,D,20110913,000000,5.8477,5.9544,5.8022,5.8758,48488,0
STAG.US,D,20110914,000000,5.8982,6.0223,5.8698,5.9544,88919,0
STAG.US,D,20110915,000000,6.0111,6.2024,5.9266,6.09,60558,0
STAG.US,D,20110916,000000,6.1972,6.6641,6.1972,6.6641,567364,0
STAG.US,D,20110919,000000,6.6021,6.6463,6.3486,6.3994,56629,0
STAG.US,D,20110920,000000,6.3994,6.5203,6.1918,6.1972,85624,0
STAG.US,D,20110921,000000,6.2256,6.3416,5.8345,5.8345,83432,0
STAG.US,D,20110922,000000,5.7019,5.9036,5.6379,5.7306,125673,0
STAG.US,D,20110923,000000,5.7534,5.9903,5.7135,5.8863,60954,0
STAG.US,D,20110926,000000,5.9203,6.2206,5.915,6.0655,99513,0
STAG.US,D,20110927,000000,6.1918,6.3473,6.0302,6.1627,96261,0
STAG.US,D,20110928,000000,6.1053,6.1053,5.915,5.9668,88131,0
STAG.US,D,20110929,000000,6.082,6.1918,5.6902,5.9091,72095,0
STAG.US,D,20110930,000000,5.8034,6.1889,5.8034,5.8819,75004,0
STAG.US,D,20111003,000000,5.846,5.9607,5.771,5.8231,118208,0
STAG.US,D,20111004,000000,5.8803,6.4743,5.6501,6.3874,151860,0
STAG.US,D,20111005,000000,6.3416,6.3763,5.8748,6.0418,79123,0
STAG.US,D,20111006,000000,6.0015,6.1627,6.0015,6.0937,80857,0
STAG.US,D,20111007,000000,6.0937,6.2033,5.7652,5.8052,50968,0
STAG.US,D,20111010,000000,5.9266,6.0129,5.794,6.0068,85744,0
STAG.US,D,20111011,000000,6.0015,6.2724,5.9725,6.2033,77426,0
STAG.US,D,20111012,000000,6.2724,6.2724,6.1689,6.209,87585,0
STAG.US,D,20111013,000000,6.2033,6.2724,6.0763,6.2724,38801,0
