<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WMS.US,D,20140725,000000,14.559,14.857,14.505,14.646,5676481,0
WMS.US,D,20140728,000000,14.531,14.739,14.514,14.514,480120,0
WMS.US,D,20140729,000000,14.524,14.585,14.514,14.524,281749,0
WMS.US,D,20140730,000000,14.524,14.593,14.377,14.441,626789,0
WMS.US,D,20140731,000000,14.514,14.514,14.085,14.094,357568,0
WMS.US,D,20140801,000000,14.069,14.139,13.603,13.639,102670,0
WMS.US,D,20140804,000000,13.649,13.921,13.603,13.603,232897,0
WMS.US,D,20140805,000000,13.603,13.649,13.37,13.5,138422,0
WMS.US,D,20140806,000000,13.38,13.768,13.38,13.686,141306,0
WMS.US,D,20140807,000000,13.959,13.959,13.56,13.584,256723,0
WMS.US,D,20140808,000000,13.574,14.405,13.566,14.322,183145,0
WMS.US,D,20140811,000000,14.103,14.283,13.833,13.868,102198,0
WMS.US,D,20140812,000000,13.876,14.386,13.876,14.274,75529,0
WMS.US,D,20140813,000000,14.566,14.627,14.357,14.46,70065,0
WMS.US,D,20140814,000000,14.585,14.585,14.396,14.497,135448,0
WMS.US,D,20140815,000000,14.479,14.54,14.303,14.386,46390,0
WMS.US,D,20140818,000000,14.357,14.422,14.274,14.377,48567,0
WMS.US,D,20140819,000000,14.274,14.995,14.103,14.94,75259,0
WMS.US,D,20140820,000000,15.039,15.737,14.986,15.576,199691,0
WMS.US,D,20140821,000000,15.592,16.026,15.482,15.737,154162,0
WMS.US,D,20140822,000000,15.884,16.044,15.428,15.567,126023,0
WMS.US,D,20140825,000000,15.755,16.433,15.626,16.237,96428,0
WMS.US,D,20140826,000000,16.227,16.679,16.054,16.291,427566,0
WMS.US,D,20140827,000000,16.326,17.195,16.218,17.054,189660,0
WMS.US,D,20140828,000000,17.036,17.324,16.625,17.186,277392,0
WMS.US,D,20140829,000000,17.395,17.777,17.016,17.205,236885,0
WMS.US,D,20140902,000000,17.385,17.385,17.063,17.243,297188,0
WMS.US,D,20140903,000000,16.869,17.721,16.869,17.359,322236,0
WMS.US,D,20140904,000000,17.553,17.767,17.343,17.359,278622,0
WMS.US,D,20140905,000000,17.486,17.505,16.935,17.122,206350,0
WMS.US,D,20140908,000000,16.935,17.27,16.035,16.299,340403,0
WMS.US,D,20140909,000000,16.407,17.515,16.371,17.195,455915,0
WMS.US,D,20140910,000000,17.413,18.53,17.215,18.327,885648,0
WMS.US,D,20140911,000000,18.222,18.327,17.785,18.242,345611,0
WMS.US,D,20140912,000000,18.242,18.54,18.05,18.483,346526,0
WMS.US,D,20140915,000000,18.596,18.596,18.093,18.102,199838,0
WMS.US,D,20140916,000000,18.203,18.596,17.979,18.511,258429,0
WMS.US,D,20140917,000000,18.711,19.383,18.084,18.203,423015,0
WMS.US,D,20140918,000000,18.213,19.745,18.174,19.445,477741,0
WMS.US,D,20140919,000000,19.416,19.838,17.634,17.73,1251297,0
WMS.US,D,20140922,000000,17.703,18.222,17.476,18.093,212213,0
WMS.US,D,20140923,000000,18.06,18.213,17.73,18.157,205835,0
WMS.US,D,20140924,000000,18.033,18.289,17.85,18.05,144574,0
WMS.US,D,20140925,000000,18.074,18.368,17.821,18.333,151075,0
