<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPOF.US,D,20210723,000000,11.2,12.91,10.99,12.25,4026343,0
XPOF.US,D,20210726,000000,12.49,13.1,12.25,12.3,232910,0
XPOF.US,D,20210727,000000,12.41,12.47,11.84,12.11,195697,0
XPOF.US,D,20210728,000000,12.1,12.1,11.5,11.95,157920,0
XPOF.US,D,20210729,000000,11.94,12.1,11.5001,11.7,157002,0
XPOF.US,D,20210730,000000,11.71,11.85,11.53,11.72,81200,0
XPOF.US,D,20210802,000000,11.69,11.99,11.5267,11.6,103887,0
XPOF.US,D,20210803,000000,11.6,11.8,11.5,11.5,49008,0
XPOF.US,D,20210804,000000,11.5,11.725,11,11.5,103964,0
XPOF.US,D,20210805,000000,11.4,12.11,11.261,12.09,151159,0
XPOF.US,D,20210806,000000,12,12.11,11.75,11.98,62285,0
XPOF.US,D,20210809,000000,12.13,12.1496,11.51,11.98,85521,0
XPOF.US,D,20210810,000000,11.84,12.08,11.56,11.99,34567,0
XPOF.US,D,20210811,000000,11.78,12.03,11.6,11.85,37790,0
XPOF.US,D,20210812,000000,11.92,11.96,11.7,11.94,18964,0
XPOF.US,D,20210813,000000,11.9,11.94,11.41,11.77,160302,0
XPOF.US,D,20210816,000000,11.8,11.88,11.4,11.8,91243,0
XPOF.US,D,20210817,000000,11.91,11.92,10.44,11.24,380770,0
XPOF.US,D,20210818,000000,11.24,12.05,11.11,11.91,262493,0
XPOF.US,D,20210819,000000,11.8,12,11.66,12,600377,0
XPOF.US,D,20210820,000000,12.04,12.44,11.58,12,265154,0
XPOF.US,D,20210823,000000,12,12.25,11.4,11.53,168306,0
XPOF.US,D,20210824,000000,11.58,11.8971,11.41,11.87,95186,0
XPOF.US,D,20210825,000000,11.67,11.67,10.75,11.39,329614,0
