<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SBI.US,D,20050225,000000,6.0628,6.1007,6.0628,6.0688,16226,0
SBI.US,D,20050228,000000,6.082,6.082,6.005,6.0498,24506,0
SBI.US,D,20050301,000000,6.0239,6.082,6.0172,6.082,27308,0
SBI.US,D,20050302,000000,6.0306,6.0881,6.0306,6.0881,10457,0
SBI.US,D,20050303,000000,6.0628,6.1007,6.0628,6.0881,15137,0
SBI.US,D,20050304,000000,6.0558,6.082,6.0306,6.0368,33855,0
SBI.US,D,20050307,000000,6.0306,6.0628,6.0239,6.0628,27308,0
SBI.US,D,20050308,000000,6.0628,6.082,6.0172,6.0239,87065,0
SBI.US,D,20050309,000000,5.9986,5.9986,5.9664,5.9664,42600,0
SBI.US,D,20050310,000000,5.9664,5.9986,5.9468,5.9728,61175,0
SBI.US,D,20050311,000000,5.9664,5.9728,5.9218,5.9278,16226,0
SBI.US,D,20050314,000000,5.9408,5.9852,5.9218,5.9218,30431,0
SBI.US,D,20050315,000000,5.9408,5.9538,5.9021,5.9021,29805,0
SBI.US,D,20050316,000000,5.8956,5.8956,5.8382,5.8768,31363,0
SBI.US,D,20050317,000000,5.8447,5.9086,5.8447,5.8637,18255,0
SBI.US,D,20050318,000000,5.8447,5.8447,5.8382,5.8382,3125,0
SBI.US,D,20050321,000000,5.8509,5.883,5.8061,5.883,50088,0
SBI.US,D,20050322,000000,5.8571,5.8895,5.8061,5.8061,21694,0
SBI.US,D,20050323,000000,5.7296,5.8128,5.7296,5.8128,39008,0
SBI.US,D,20050324,000000,5.7934,5.8447,5.7808,5.8382,28870,0
SBI.US,D,20050328,000000,5.8382,5.8447,5.7613,5.8128,17633,0
SBI.US,D,20050329,000000,5.768,5.8254,5.7223,5.768,46654,0
SBI.US,D,20050330,000000,5.742,5.8191,5.7359,5.768,39008,0
SBI.US,D,20050331,000000,5.7934,5.8315,5.7934,5.8315,15601,0
SBI.US,D,20050401,000000,5.8447,5.8956,5.8447,5.8956,70680,0
SBI.US,D,20050404,000000,5.9086,5.9086,5.8895,5.8895,5310,0
SBI.US,D,20050405,000000,5.8447,5.9278,5.8447,5.9278,19347,0
SBI.US,D,20050406,000000,5.8956,5.9278,5.8895,5.9021,12949,0
SBI.US,D,20050407,000000,5.8447,5.8895,5.8447,5.8637,7960,0
SBI.US,D,20050408,000000,5.8571,5.8637,5.8571,5.8637,9833,0
SBI.US,D,20050411,000000,5.8382,5.9086,5.8382,5.8382,39945,0
SBI.US,D,20050412,000000,5.8701,5.8768,5.8509,5.8768,11086,0
SBI.US,D,20050413,000000,5.9086,5.9086,5.8382,5.8382,23409,0
SBI.US,D,20050414,000000,5.8254,5.883,5.8061,5.8254,105956,0
SBI.US,D,20050415,000000,5.8571,5.8768,5.8509,5.8637,16075,0
SBI.US,D,20050418,000000,5.8637,5.8895,5.8447,5.8895,21068,0
SBI.US,D,20050419,000000,5.8895,5.9086,5.8701,5.8701,13424,0
SBI.US,D,20050420,000000,5.883,5.9021,5.8637,5.9021,27144,0
SBI.US,D,20050421,000000,5.8701,5.8768,5.8254,5.8382,38544,0
SBI.US,D,20050422,000000,5.8061,5.8447,5.7869,5.8447,9363,0
SBI.US,D,20050425,000000,5.8315,5.8509,5.7999,5.8509,55703,0
SBI.US,D,20050426,000000,5.8637,5.9021,5.8509,5.9021,20751,0
SBI.US,D,20050427,000000,5.9086,5.9278,5.883,5.8895,30893,0
SBI.US,D,20050428,000000,5.9152,5.9408,5.883,5.883,8421,0
SBI.US,D,20050429,000000,5.9086,5.9538,5.883,5.9408,22937,0
SBI.US,D,20050502,000000,5.9538,5.9538,5.9408,5.9468,2958,0
SBI.US,D,20050503,000000,5.9538,5.9728,5.9538,5.9728,10926,0
